4,0,-1,11,12,11,17,0,43,,,,,,,,,,,,,
4,2,4,11,13,11,21,3,60,,,,,,,,,,,,,
4,10,3,11,12,11,21,26,55,,,,,,,,,,,,,
2,17,3,7,9,7,17,24,68,,,,,,,,,,,,,
3,24,3,9,9,9,9,12,66,,,,,,,,,,,,,
3,31,5,7,9,7,27,4,73,,,,,,,,,,,,,
3,39,8,8,10,8,23,68,88,,,,,,,,,,,,,
2,46,5,4,8,4,33,83,82,,,,,,,,,,,,,
2,53,-2,1,4,1,20,12,63,,,,,,,,,,,,,
2,61,0,4,6,4,15,18,63,,,,,,,,,,,,,
2,68,3,3,6,3,23,100,81,,,,,,,,,,,,,
2,75,2,3,6,3,21,64,78,,,,,,,,,,,,,
1,82,0,2,5,2,22,78,69,,,,,,,,,,,,,
2,90,0,2,5,2,18,19,67,,,,,,,,,,,,,
2,97,0,4,6,4,14,2,64,,,,,,,,,,,,,
3,100,3,6,7,6,13,16,73,,,,,4,0,-1,11,12,11,17,0,43
2,89,3,8,9,8,9,30,71,,,,,4,2,4,11,13,11,21,3,60
,,,,,,,,,,,,,4,10,3,11,12,11,21,26,55
,,,,,,,,,,,,,2,17,3,7,9,7,17,24,68
,,,,,,,,,,,,,3,24,3,9,9,9,9,12,66
,,,,,,,,,,,,,3,31,5,7,9,7,27,4,73
,,,,,,,,,,,,,3,39,8,8,10,8,23,68,88
,,,,,,,,,,,,,2,46,5,4,8,4,33,83,82
,,,,,,,,,,,,,2,53,-2,1,4,1,20,12,63
,,,,,,,,,,,,,2,61,0,4,6,4,15,18,63
,,,,,,,,,,,,,2,68,3,3,6,3,23,100,81
,,,,,,,,,,,,,2,75,2,3,6,3,21,64,78
,,,,,,,,,,,,,1,82,0,2,5,2,22,78,69
,,,,,,,,,,,,,2,90,0,2,5,2,18,19,67
,,,,,,,,,,,,,2,97,0,4,6,4,14,2,64
,,,,,,,,,,,,,3,100,3,6,7,6,13,16,73
,,,,,,,,,,,,,2,89,3,8,9,8,9,30,71
